Unnamed: 0,size,center_x,center_y,min_dist
Cell_1,409.0,10.0,487.0,2302.8417227417085
Cell_2,277.0,13.5,1001.0,2204.314462593756
Cell_3,262.0,12.0,546.0,2284.3434505345294
Cell_4,21.0,11.5,240.5,2382.042925725731
Cell_5,78.0,13.5,265.0,2371.310660794996
Cell_6,171.0,16.5,775.5,2229.0873693061026
Cell_7,470.0,21.0,687.0,2241.686195701798
Cell_8,454.0,29.0,427.0,2303.0946571949667
Cell_9,353.0,25.0,476.5,2291.6171691624236
Cell_10,368.0,28.0,617.0,2250.731436666756
Cell_11,286.0,30.0,519.0,2274.486315632609
Cell_12,212.0,34.5,576.0,2254.713119223818
Cell_13,207.0,34.5,301.0,2338.971194777738
Cell_14,313.0,43.5,641.5,2229.8593004940917
Cell_15,151.0,42.5,738.0,2210.352743342112
Cell_16,401.0,45.0,461.5,2277.101062755011
Cell_17,264.0,44.5,846.0,2190.269675177009
Cell_18,212.0,47.5,659.0,2221.9505507548993
Cell_19,349.0,51.0,498.5,2260.2714991788043
Cell_20,148.0,51.5,1055.0,2163.0987610370453
Cell_21,148.0,51.5,526.5,2251.743879751869
Cell_22,326.0,55.0,174.5,2367.004700037581
Cell_23,249.0,59.0,316.0,2310.794235755317
Cell_24,662.0,69.5,253.0,2323.5150634329875
Cell_25,235.0,61.0,776.5,2185.0952496401615
Cell_26,279.0,63.5,705.5,2196.2541974917203
Cell_27,207.0,60.0,408.5,2279.593000954337
Cell_28,228.0,64.0,389.5,2281.742371522254
Cell_29,156.0,63.0,374.5,2287.4892895924127
Cell_30,256.0,67.0,1113.0,2145.5369957192534
Cell_31,529.0,73.5,477.5,2245.0733841012857
Cell_32,281.0,68.0,417.5,2269.2113718206156
Cell_33,273.0,72.0,673.0,2194.93598995506
Cell_34,116.0,69.0,794.5,2174.1138999601653
Cell_35,79.0,67.0,547.5,2231.0103652829584
Cell_36,210.0,73.5,399.0,2269.7282326305058
Cell_37,164.0,72.0,603.0,2211.5523959427233
Cell_38,145.0,72.5,146.5,2362.266390566483
Cell_39,149.0,76.5,1040.5,2138.89702884454
Cell_40,385.0,83.0,780.0,2162.822692686573
Cell_41,292.0,80.0,922.0,2145.3542830963843
Cell_42,192.0,80.0,329.0,2286.6044695136934
Cell_43,470.0,83.5,513.5,2224.80751976435
Cell_44,219.0,82.5,371.5,2270.0203743579045
Cell_45,295.0,85.0,726.5,2170.9258969389075
Cell_46,274.0,91.0,419.5,2246.7112075208956
Cell_47,215.0,93.0,565.0,2201.221706234972
Cell_48,256.0,94.5,594.5,2191.9690919353766
Cell_49,120.0,90.5,633.5,2186.096635558456
Cell_50,231.0,95.0,689.5,2168.870962044538
Cell_51,234.0,93.0,823.5,2145.709031998514
Cell_52,753.0,101.5,162.5,2329.260075646341
Cell_53,317.0,99.0,495.5,2215.3237348071725
Cell_54,47.0,94.0,288.0,2287.920671701709
Cell_55,189.0,103.0,280.0,2282.4359793869357
Cell_56,99.0,100.0,1229.5,2113.1105626540225
Cell_57,255.0,103.5,712.5,2155.6726328457203
Cell_58,290.0,108.5,46.0,2372.92419811506
Cell_59,424.0,107.5,567.5,2186.5869523071797
Cell_60,244.0,106.5,264.5,2284.888290485992
Cell_61,63.0,104.5,202.5,2310.468026179977
Cell_62,246.0,108.0,680.0,2158.2810289672657
Cell_63,259.0,114.5,14.0,2382.1593670449506
Cell_64,286.0,113.5,790.5,2130.95577147908
Cell_65,260.0,113.5,953.5,2108.7338618232507
Cell_66,305.0,115.5,862.5,2117.64361968675
Cell_67,286.0,115.5,593.0,2172.081087344577
Cell_68,81.0,118.0,448.5,2211.897884170967
Cell_69,245.0,120.5,737.5,2133.9457584484194
Cell_70,517.0,124.5,273.0,2265.019260403761
Cell_71,403.0,126.5,402.0,2218.5182555029833
Cell_72,329.0,126.5,609.5,2157.188563848789
Cell_73,250.0,127.0,635.0,2150.3257892700817
Cell_74,153.0,124.5,675.5,2143.2140583712116
Cell_75,277.0,128.0,314.5,2246.6869497106177
Cell_76,224.0,128.0,229.0,2278.47668410278
Cell_77,293.0,133.0,377.0,2220.522686216018
Cell_78,167.0,131.5,523.0,2176.12597291609
Cell_79,317.0,135.0,791.5,2109.6111608540564
Cell_80,312.0,137.0,464.0,2188.934443970399
Cell_81,554.0,142.5,821.5,2097.162487743856
Cell_82,195.0,138.5,181.0,2287.9323088762917
Cell_83,350.0,140.0,428.5,2197.335716270957
Cell_84,333.0,140.5,124.5,2309.7161080964042
Cell_85,99.0,137.0,569.5,2157.6601331071583
Cell_86,379.0,143.0,676.0,2125.0849394788906
Cell_87,172.0,142.0,330.0,2228.112429838315
Cell_88,168.0,143.5,191.5,2279.1012482994256
Cell_89,197.0,143.0,222.0,2267.400714474616
Cell_90,301.0,145.0,312.0,2231.701144866848
